"date","title","url","likes","dislikes","recommendationsToOthers","businessProplemsAndSolutions","stars"
"March 13, 2018May 31, 2017","""Great system, terrible UI""","https://www.g2crowd.com/products/cision/reviews/cision-review-301241",,,,,"4"
"July 23, 2018","""The standard for media contact research and list building, with room for improvement""","https://www.g2crowd.com/products/cision/reviews/cision-review-796406","My firm uses Cision every day for gleaning information on media professionals. With teams pitching media every day, Cision is a tool that's essential for identifying information about relevant outlets, finding the relevant contacts, their locations, and learning more about what they're writing about. Cision is also useful when we're researching a contact or a new media outlet, and we can trust the information in the Cision media database.","While we understand the challenge of verifying contact information, it's not always up to date. With an always-growing media landscape, and with the frequency of job changes in the media, Cision may be a good starting point, but users still have to relay on their research expertise to execute successful media relations outreach with the Cision software.",,,"4"
"July 18, 2018","""A Great Platform for Connecting You to Members of the Media""","https://www.g2crowd.com/products/cision/reviews/cision-review-783029","Cision is an easy to navigate and powerful tool that makes connecting to influential members of the media easy. I have used the company for almost four years now. I implemented it at the last two jobs I've held, and I feel that they give more bang for the buck than their competitors, hands down.","Sometimes, their research team seems slow (but this is getting better) in updating media shifts. Also, it can be frustrating when that one member of the media you really want to find isn't in their database.","I first started using Cision when I worked for Lincoln Center for the Performing Arts. I found it to be an invaluable tool. When I went to DG+CO, I convinced them to switch from Meltwater to Cision, and my entire team found the product to be superior. At my current company I am the first in-house publicist they have had, so I requested Cision for my needs here and was able to obtain it. In the four years I have been using Cision, it has only gotten more powerful and more reliable.",,"4.5"
"June 22, 2018","""Cision is vital! ""","https://www.g2crowd.com/products/cision/reviews/cision-review-336999","I love the ease and user friendliness of Cision. I've used other similar products in the past and we've stuck with Cision for a few years now. I greatly appreciate the tagging system and ability to pull reports quickly. I really like the auto tagging feature where I can keep track of my campaigns or crises easily and have reports immediately for my supervisor/client. ","It's an investment, which isn't a problem for larger companies, but can be prohibitive for smaller companies. In addition, sometimes it's difficult to get nitty gritty data.  I wish some features were included in a general cost, rather than being a la carte.  ","Look into multiple platforms and see how their reporting/analytics compares for what you are specifically looking for in terms of reports. ",,"5"
"May 19, 2018","""Cision""","https://www.g2crowd.com/products/cision/reviews/cision-review-706468","I like that Cision has multiple categories so you can narrow down exactly what you are searching for by industry, location, specific company, or a journalist by name. It also makes it easier to find someone who writes about a specific topic, like if you want to find someone at Buzzfeed to write a story about your client that is a restaurant, it narrows down Buzzfeed employees into categories like food, entertainment, culture, and politics. ","I don't like that if you misspell a name slightly wrong, for example you don't put an apostrophe in somebody's last name, you will not be able to find that person. This can be tedious because then you have to search several times to find a person. ","Cision is definitely a beneficial tool for PR firms and anyone else who wants to contact journalists, reporters, or anyone in the media industry. It saves a lot of time from manually searching on Google for contact information, especially since a lot of people don't publicly release that information. ",,"5"
"May 10, 2018","""It's not the end all be all""","https://www.g2crowd.com/products/cision/reviews/cision-review-708156","Cision is a fantastic option for jumpstarting a search; if I need to know what publications exist for a specific beat, this tool serves as a proper resource. General inquiries are where Cision software thrives. Larger publications and non-trades seem to be the best fits for accurate targeting. When drawing closer to the trade publications, things get a bit messy and at times, we end of pitching irrelevant info to reporters. ","More times than not we only uncover a bunch of non-pr contacts who either switched positions or beats. The more specific the reporter beat, the higher the likelihood that there's a mistake. In theory this could be the ultimte tool, but it lacks timeliness.","Take the contacts with a grain of salt and make sure that you're doing your own research as well. Cision is not the end all be all of media targeting. ",,"3"
"January  6, 2018","""Pr essential""","https://www.g2crowd.com/products/cision/reviews/cision-review-519923","I signed up to Cision quite accidentally but soon it turned into an essential tool for my job. it's an asset. I was able to do fam trips and write one of a kind reportages. I have been invited to events I would never imagine. It's like to be in comfort zone, with Cision you know that you don't have to go crazy to find contacts, someone will do it for you. So when I see in my inbox something unusual I know there is Cision behind. I recommend to all my colleagues to contact someone at Cision and ask to be added to their press list. They are also kind and they contact you if they see something is not right in your profile. Can you ask for more? don't forget that it is meant to save time and provide information that would otherwise only be available to those that have developed personal relationships with those journalists. Cision is the best out there. It's an investment that all Pr should do.  As someone who is in the younger or even older, crowd, this is useful to me because when I started, I was unsure about how to reach who I needed to. Helped me immensely! Again don't think twice and go for Cision.","nothing to complain, never had any issues","it's a must have for journalists ",,"5"
"January  5, 2018","""New Improved(?) Cision""","https://www.g2crowd.com/products/cision/reviews/cision-review-544501","I like Cision because it gives users a comprehensive database with top-tier, trade, blog and international outlet insights. They do a pretty good job at updating the webiste and I like that the new version gives more background on how to pitch/contact reporters. ","Okay... I am very used to the old Cision, which was a million times easier to get the email/number of a contact without going to a new page. So I don't like this two-step process. I also don't like that they have now separated a lot of the outlets into individual bureaus. Before I could look up Fortune and get Fortune's bureaus, international and online reporters in one line. Now I need to download them separately. They have also removed some of the filters we used to be able to use, and that is also frustrating. ","If you are new to the program you will like it a lot. If you have used it in the past and will restart using it, be aware that the changes they have made make the program less user-friendly. ",,"4"
"December 21, 2017","""Great database, but not always up to date""","https://www.g2crowd.com/products/cision/reviews/cision-review-325414","I use Cision for its media database and press monitoring. It's a great place to start when building a comprehensive media list, complete with contact information and social profiles. I love that the reporting shows media impressions, PR values, and gives many options for fields to include. ","Many times, the data is not completely up to date, or some press that I've worked with are not in the database at all. It can be hard to track moves or new writers. Additionally, the press reports are great but not as thorough as a search on google. I love seeing the PR values, but they sometimes seem so exaggerated it's sometimes hard knowing what is fact. ","Cision is one of the most complete databases out there. However, some media contacts can be out of date - which I know they are working on making that more in-the-moment. Also, I love press monitoring, but not all of my actual earned coverage will show up! ",,"4"
"October 19, 2017","""Cision - Searching for Contacts Made Easy ""","https://www.g2crowd.com/products/cision/reviews/cision-review-349559","Cision is great when pulling large contact lists of reporters, editors etc. It makes it easy to contact specific people and search for publications. It has narrowing search features which help get the right person. I also like how you can export the contact list as an excel sheet which makes the process a lot easier since that is usually the next step in making a media list. ","The biggest problem I have with Cision is that it only allows one user at a time to use the program. At an office focused on media and communication, it is imperative to use Cision on most projects, so when only one person is able to log in, it causes problems and slows down the process. Most of the time, colleagues kick each other out in the person mid-search. This loses important searches and makes it very difficult to work efficiently when researching. ","I recommend Cision when you need to send out large press releases. It's also great when you need to narrow searches by publication topic, contact topic etc. ",,"4.5"
"April 26, 2018","""Cision: For Media Monitoring and Outreach""","https://www.g2crowd.com/products/cision/reviews/cision-review-690285","Having the articles and coverage in the same place as the database is essential. This efficiency results in better media interaction.","Setting up filters and dialing in key words to achieve better coverage can be time consuming. Also, some coverage is better of the printed publications. There are some limitations with content behind paywall too - even for publications that are ""included"" in your account's coverage.","Make sure you are comfortable with the range of coverage and that the print version is the primary coverage zone. There can be additional charges to include some of the major dailies on top of the package fees.",,"4"
"December 19, 2017","""Easy Platform, Great for Distribution, Fun Community""","https://www.g2crowd.com/products/cision/reviews/cision-review-506796","Press release distribution down the wire is very simple and straightforward, Can quickly and easily build reports in Excel format or by dashboard with great charts for your presentations. Cision City is the community platform where you can participate in discussions, ask questions and complete fun challenges for prizes. Very responsive and quick Customer Care.","They are still working out some small issues on the new platform in terms of reporting, such as building very specific reports - you can still get them done, just takes a few extra steps.","Excellent platform for press release distribution and reporting. Haven't touched the social aspect, but definitely looking into it.",,"4"
"February  9, 2018","""Useful PR and media relations tool""","https://www.g2crowd.com/products/cision/reviews/cision-review-54893","Cision has been a great tool and very user-friendly! The team has been more than helpful in training us and tailorign that training to our specific needs. The database has been a time-saver, and we love the media monitoring!","Aside from a few glitches here and there, there is not much to dislike about Cision. We use the media list a lot and it helps us be able to send pitches to the right reporters.","Work with your rep who can be very helpful. We had ours come to our office and teach us about features we didn't know. Their media database is the best and accurate and I've used many systems.",,"5"
"August 10, 2017","""I have used it to prepare media lists""","https://www.g2crowd.com/products/cision/reviews/cision-review-316109","What I like the best is the massive range that the database covers. They have just about every publication you can think of. Also the detailed information about each publication's statistics and their reporters is amazing. They list - the beats reporters cover, how much does an ad cost, what is the circulation rate, etc. All these numbers can help you plan which publications you want to reach out. It also helped me to reach specific reporters who would be more interested in carrying out certain stories. ","The search is not exactly user-friendly. You need to put in the exact name of whatever it is you are looking for. Even if there is a slight mistake, the search box will say - no matches found. This is one feature that I find inconvenient, I would have preferred if they would at least show some search options that if not exact are close to what you are looking for, something like Google search. ","I would suggest being patient. It takes time to get the hang of it. At first I found it pretty complicated but now I am fairly comfortable with it. ",,"5"
"July 30, 2018","""Worth it!""","https://www.g2crowd.com/products/cision/reviews/cision-review-817615","Cision is such an amazing platform for the Public Relations field and has so many helpful tools and resources for anyone looking for updated media contacts and media alerts. They've since changed their site from the old platform and it's a great way to quickly search for contacts in our area. We use Cision for storing our Media Lists and tracking secured coverage. It's been very helpful for keeping our lists organized and stored safely. ","I dislike how there is an additional cost for uploading each media list. It can get very costly when you want to add a media list for a specific client because you're only allowed so many before they charge you per contact. The bigger the media list, the bigger the cost. In that regard it can get very expensive, especially for small businesses. I wish there were more affordable options for smaller firms of less than 5 people. If Cision can find more affordable packages, that will help beat out competitors like Meltwater and other sources that provide similar services. ","If you are in public relations, it's a must! It's an investment that is essential to the growth of business.",,"4.5"
"June 15, 2018","""Cision""","https://www.g2crowd.com/products/cision/reviews/cision-review-741117","I like that Cision is easy to use, and allows you to find influencers, journalists and publications that fit into the beat you are looking to target. The platform makes it easy to pull a list including multiple contacts and outlets in the wheelhouse you are looking for. ","Sometimes it can be hard to find exactly who you are looking for if it is not written or spelled exactly like it is in Cision. I also don't like that some of the contacts do not have emails listed because they ""prefer not to be contacted"", which I thought that was a main point of Cision. ","I think Cision is a staple to the PR industry. Sometimes it can be aggravating to find a contact you were looking for only to have their contact information not listed or to find out the contact information is outdated. But, I have also found that Cision has brought new contacts to my attention who ended up being a perfect fit. ",,"4"
"June 15, 2018","""Helpful Media Tool""","https://www.g2crowd.com/products/cision/reviews/cision-review-740966","I think the best part about Cision is the usability of the media search tool. All of the different search filters and add-ons make it really easy to customize your search in Cision. I mainly used Cision for building and updating media lists and found it very helpful for finding the right contact when I needed it. ","The thing that I disliked most about using Cision was that when trying to use the search function, it was too easy to lose all of your search settings. There was only one button that would allow you return to your search without losing all of the settings, I found this to be the most frustrating part. ","I would recommend that new users of Cision use the training video feature because it really allows you to understand the platform before jumping right in. The training video was really helpful in getting my feet wet with Cision and understanding what all of the capabilities of the program were. ",,"4.5"
"June  5, 2018","""Great for Press Release Distribution and Analytics, Needs More Social Integration""","https://www.g2crowd.com/products/cision/reviews/cision-review-569100","I love that I can easily distribute press releases down the wire and get analytics for any and all coverage. Gone are the days of manually building clip reports - Cision does that and builds you a customizable analytics dashboard for these hits. ","There aren't many options in terms of social. You can get analytics, but what about finding relevant influencers and followers? This could definitely help marketing social media experts.","This is a great tool to use for press release distribution and can easily get your news out there for others to see. The templates they can create for your analytics are also very convenient and easily downloadable and have helped me build reports for my teams that can be used on presentations as well. Not sure how to use it for social media effectively, but hopefully, I will learn.",,"3.5"
"May 15, 2017","""Publicist, using it for PR distributions""","https://www.g2crowd.com/products/cision/reviews/cision-review-54633","I enjoy being able to filter through results easily. I can get very specific, very quickly. When working with multiple clients and press releases, this is very helpful. ","When creating a distribution list in Vocus, I wish the numerical amount would adjust according to the amount of people currently selected. To be more specific, if ""automobiles (45)"" is truly listing 45 people, then that number makes sense. But if the number is actually 25, the number next to automobiles should be adjusted. It would save me time. ","There are definitely minor details that can be worked out, but i'm confident that the Cison team will continue to improve the service. My interaction with customer service has resolved issues. The platform is easy to navigate after some initial practice time spent. ",,"4"
"June 13, 2017","""Necessary for the PR business, but could be improved ""","https://www.g2crowd.com/products/cision/reviews/cision-review-309319","Cision usually has the information you need. It has reporter contact info, it's usually up to date, and it will usually tell you if a person has moved publications. It can also be helpful at finding reporters you might not have considered. ","It is by no means exhaustive or totally up to date. Many many times I've found information that was out of date or just incorrect, and very often vital information won't be included. I understand not all reporters want to share their cell phone numbers, but it makes for a very incomplete service. ","Think hard about the cost. It's still very expensive, and if you have the time, you can find nearly all this information yourself. ",,"2.5"
"December 13, 2017","""Good For Agencies, Unnecessary Features for Small Businesses""","https://www.g2crowd.com/products/cision/reviews/cision-review-501498","Their products for social media monitoring are comprehensive! There are so many layers to what you can do with their tools - the analytics dashboard is impressive. ","Coming from an agency background, having a tool like this TOTALLY makes sense, especially for big, national or international brands/companies. For smaller companies without much buzz online - I'd say pass on this product. If there's not a lot of online chatter about your company, it's not going to be worth it for you.","If you're a small business, don't do it. It's not worth the price. ",,"2.5"
"November 28, 2017","""Cision is very helpful when finding media contacts. ""","https://www.g2crowd.com/products/cision/reviews/cision-review-478716","I like that Cision is very straightforward. At my PR agency, we need to find reporter's email addresses and phone numbers. Cision is incredibly user friendly and works well for what we need it for. ","I don't love the press list building function. I typically build my own press lists rather than utilize their online structure. ","Cision is very helpful for finding reporter's contact information. I don't use it for many of the other things it offers, but I would assume they're doing a great job all around. ",,"4"
"April  5, 2018","""Easy to Use All-in-One PR Platform""","https://www.g2crowd.com/products/cision/reviews/cision-review-666972","The way the platform is organized makes it quick and easy to find what you're looking for or looking to do (ex. send out an email release or wire release). Also the live webinars are really helpful!","Sometimes you need to follow up a Cision rep on a question you submitted via email or phone call.",,,"4"
"April  2, 2018","""Cision - reliable and organized.""","https://www.g2crowd.com/products/cision/reviews/cision-review-663054","My favorite feature Cision has to offer is the extent to which press/media contacts are organized and updated. Contacts are sorted in a variety of different ways (product category, publication, industry, etc.) that make them easy to find and keep tabs on. In addition, every featured media entity is also organized by department, where you can then find up-to-date contact information of all members of that specific team within the organization.","For a beginner, the platform can be difficult to navigate. Cision has a handful of different features, and the interface can appear cluttered at times. I think the data can be organized and labeled in a more user-friendly way. ","If your goals are to target strategic media and press contacts, make sure you approach Cision with a strategy and know exactly what it is that you're looking for. There's a lot of data and it can be easy to get lost if you're not strategic in your approach.",,"4.5"
"February  6, 2018","""Cision""","https://www.g2crowd.com/products/cision/reviews/cision-review-612483","I LOVE having the webinars readily available. They walk you through step-by-step, and they also have live webinars where you can ask questions as you go along. It's also easy to get in touch with Cision employees in case you have any questions. Our account manager calls us about once a month to check up on us, which is really nice. He often does one-on-one webinars and walk-throughs if we need help.","Don't really have anything to complain about at this time.","Do it! We have had a lot of success with this platform and have gained many new members to our organization through it. It's gotten our name out there to more potential members of our organization, or at least helped us with distributing information to those who need it.",,"4.5"
"February  6, 2018","""Cision is a terrible choice for media monitoring""","https://www.g2crowd.com/products/cision/reviews/cision-review-612155","I guess if asked what I like best, I would say the contact search is probably it. I will say Cision manages to keep their contact database mostly up-to-date and relevant. The DMA feature when searching is very relevant and something Meltwater could not offer when I was a user of that product. ","This is not a true user-friendly experience. You must contact your Cision rep to update your search terms, which is just silly. I also get TONS of totally irrelevant media clips in my daily reports. Also, half the media clips don't link to anything because they came from LexisNexis, which you need a separate login for (and I believe a separate paid subscription.) I came from a company using Meltwater and I can attest that Meltwater is light-years ahead and way better, even if they have some of their own glitches--at least you can change your own search terms. ","I would highly, highly recommend that you take your time and see if you can do a live trial of Cision before signing a contract. We did a webinar with them at my previous company and I thought Cision looked awesome and like it would fit our needs better than Meltwater--I couldn't have been more wrong. We ultimately ended up sticking with Meltwater due to Cision's price, and thank goodness for that. Cision is like a barely-functioning, overpriced dinosaur compared to Meltwater. I probably sound like a paid ad, but seriously my experience has been that bad with Cision. ",,"1"
"January 26, 2018","""Go-To Media Monitoring Service""","https://www.g2crowd.com/products/cision/reviews/cision-review-589433","I like how seriously Cision takes reports that contact information is out of date or incorrect. I've reported a few incidents and each time they were resolved within an hour or two. Compared to Meltwater, Cision has been able to pull articles Meltwater wouldn't have been able to - Cision is a more comprehensive platform. I'm a big fan of Cision City and am grateful to learning opportunities the Cision City Challenges represent. I also appreciate the webinars Cision offers when new product updates are rolled out Ex Matterhorn Release.","I dislike that you can only add a piece of coverage to one campaign. I also dislike that certain features like Publicity Value are not automatically turned on in your account and as a result, require users to contact customer service to get it changed.","I would recommend exploring Cision before your current media monitoring service expires because that will highlight all the ways Cision is better and how Cision will make your life easier. If you switch to Cision, I recommend leaving a bit of overlap between your old media monitoring service and starting Cision so you can ensure you have the right search terms and contacts built in Cision lists.",,"4.5"
"May 16, 2018","""Excellent tool for finding exposure for your brand""","https://www.g2crowd.com/products/cision/reviews/cision-review-713637","I love having the ability to sort through contacts multiple ways and save them to different lists. It's helped me build a strategy for contacting reviewers as well as media for specific pitches. I've also gotten a lot of use out of HARO and the editorial calendars.","I wish it were easier to see a snapshot of social information. Anything to speed up the process of sifting through all of the contacts is always appreciated!",,,"4"
"January 12, 2018","""Good for a wide reach, poor for niche targeting""","https://www.g2crowd.com/products/cision/reviews/cision-review-560688","I like that Cision is large enough to have reporters listed from most publications. It's helpful for general outreach, and pulling reporters from various countries and subject matters. It is also quite reliable for reporter contact info.","I dislike that there is no way to get down on a granular level. For me, TechNews is  much better at this. I really wish you could search cision by keywords in reporters articles. Or if there was a way to see recent articles by each reporter in cision to see if they are a fit for the media list. Cision only pulls reporters by general subject matter, such as transportation. But what if I want to find reporters that cover connected cars specifically? There's no way to do that.  I almost never use cision to build my media lists because it's too broad. ","Having Cision is a must in the PR industry, but that doesn't mean you should use it for every PR function. Other services may be better fits for individual activities.",,"2.5"
"July 31, 2018","""Great distribution for News Releases""","https://www.g2crowd.com/products/cision/reviews/cision-review-824009","I really like that you can get a large variety of news releases sent directly to your inbox.","Even though I can get news releases directly to my inbox, the key words are not great.  Certain key words aren't identified properly.  For example, I have entertainment industry news as a category and I regularly get things with little to no correlation to my chosen industry. I get political, or financial releases from schools. ","Spend the money if you can, it might be worth it.",,"3.5"
"December 26, 2017","""One of the better media tools but still just ok""","https://www.g2crowd.com/products/cision/reviews/cision-review-521984","I like being able to research journalists and send media pitches directly. It's nice to be able to view a journalist's profile and get their contact info. I had a story come up that had our company name wrong. I was able to find the journalist and send him a note with a correction right away.","Everything is separate. If I want analytics, I have to buy that. If I want social, I have to buy that. I also can't find journalists by keyword on a topic they may have written on in the past. Meltwater has that feature and I really like it (despite Meltwater's heavy pressure sales techniques, the service is really good).","Years ago, I used cision exclusively and hated it. You needed a degree in programming to get a list put together! Now, it's much, much easier to use so it's a step in the right direction. However, I'm still not over the moon about Cision. It's just OK. It gets me a list of journalists based on demographics and some criteria but it really doesn't allow me to really research journalists based on what they're writing about. We all know that beats change and they're not consistent. Searching a keyword or phrase and seeing who has written about that is such a better way to target. I guess I'm still in the Meltwater camp but have been given Cision as a tool the company uses. I have to say I'm just not impressed and it's just OK.",,"3.5"
"December 27, 2017","""Worth It""","https://www.g2crowd.com/products/cision/reviews/cision-review-523274","We've used Cision for many years -- with exception of a brief break to try Meltwater -- and while it has it's downfalls, it's been the best option for our firm. It's a necessary tool for media relations. ","It seems that oftentimes contacts aren't updated in a timely manner; however, at minimum, Cision provides a good starting point for research.","Use it knowing it's not perfect but a great resource for getting started to cross-checking prior research. We use it daily and across all media verticals. We've tried other tools, and Cision seems to be the most accurate and user-friendly.",,"4"
"December 14, 2017","""Cision is great for finding contacts, but don't forget to do your own research""","https://www.g2crowd.com/products/cision/reviews/cision-review-287701","I love using Cision to find outlets in specific markets. From there, I research on my own to find their contact info, as I often find Cision's contact information to be out of date. BUT, I absolutely love it to find specific types of outlets in various markets. Cision is especially helpful when trying to reach media not in your area.","Like I said above -- Cision's contact information can be out of date. When I was first starting, I was getting a lot of bounceback emails and quickly learned to use Cision to find the outlet, but use my own research to find the specific media member's contact information.",,,"3"
"January  5, 2017","""Simple yet effective""","https://www.g2crowd.com/products/cision/reviews/cision-review-218184","I love being able to control where my PR gets picked up. I like having the tools provided by Cision to contact specific publications. The account manager is super friendly and she even offers to look over our PR to give ideas and recommendations. We have been working with Cision for 3 years and although our needs change our account rep is upfront about upgrading to larger packages and every time we expand our team she gets on the phone and does a walk-through with our team to refresh our current team and answer questions for new members","It's a little pricey but worth every penny if you use every feature. I wouldn't recommend this to a small company who just wants to do one or two PR blasts.",,,"4.5"
"June  5, 2018","""Lots of content, need to improve monitoring services""","https://www.g2crowd.com/products/cision/reviews/cision-review-730086","Their special features, like Cision City, and the extensiveness of the coverage they pull. They also have fairly accurate reach numbers that help in reporting. ","Trying to pull reports or tag media. I find it very difficult to search through the media coverage when I'm looking for coverage about a specific campaign. They also missed a lot of relevant media coverage, for example BlogTO in Toronto. ","I would recommend considering what you're going to use it for mainly. If you're trying to do reports or social analytics I would suggest seeking out other options, but if you are just monitoring media with it go ahead!",,"3.5"
"December 30, 2016","""Excellent way to build strong lists.""","https://www.g2crowd.com/products/cision/reviews/cision-review-54846","Easy to search; love the influencer search capability; saved searches and monitors are great for keeping track of clients. Finally, their team is usually very responsive. 

","Influencer searches could be stronger. Why only include Twitter? How do you really measure influence? If they're measuring klout, or other vague social media influence metrics, there should be more than one site connected. Especially LinkedIn. That could be a great integration- if journalists start to leverage LinkedIn more. 

Searching for coverage could also be more easily filtered. Having individual dashboards for clients would make sifting through the mountains of articles way easier. Cision already saves time by keeping everything centralized- making that experience even better would blow it out of the water!","Really easy to use for list building! Trustworthy as well. I don't think their social tool is as strong, but it could still be beneficial to a company looking to monitor all of their media in one place. (Social included!)",,"4.5"
"November  6, 2017","""Cision for Media Pros""","https://www.g2crowd.com/products/cision/reviews/cision-review-455239","There's a ton of different outlets and reporters that are available within Cision, as well as quite a bit of information about each. It's nice having contact information for the outlet and the reporters easily available in one place, it removes the need to track down information on an outlet's website. Additionally, the analytics that are available within Cision are helpful - impressions, reach, circulation, etc. While often this information can be found on an outlet's website, having a tool that has everything in one place makes finding the information for reports for clients or for developing media lists simple and straight forward.","While Cision does have a massive variety of data and information on reporters and media outlets (print, broadcast, digital), it can sometimes be outdated and missing information. Sometimes reporters have moved on to other outlets and information is incorrect, or contact information is missing on a specific reporter or outlet. This can be frustrating but there are typically other ways of finding the information so it's not impossible to access. Also, similar services offer some things Cision doesn't, for example the ability to see what reporters or outlets are sharing on social media.","Really determine what your needs are and compare with other tools. While I like Cision, I think other tools may offer more.",,"3"
"December 28, 2017","""Cision - A Must Have Tool in Communications""","https://www.g2crowd.com/products/cision/reviews/cision-review-525723","A must have tool for any marketing, PR, advertising, or communications agency targeting press and influencers. It's a great resource for finding contacts. The layout also makes it very easy to use and to monitor specific media hits.","Social media targeting can be a bit dated and there some editors from high profile publications whose names and contact information is not available. There are quite a few people in the communications and media field, so it must be hard to keep track of everyone, especially since people are constantly shifting to new positions. However, being a little more thorough never hurts!","In addition to being great communications software, there customer support team is always prompt and happy to help with any questions or troubleshoot issues you may be having.",,"4.5"
"September 26, 2017","""Must Have Tool for PR Professionals ""","https://www.g2crowd.com/products/cision/reviews/cision-review-402724","Cision is a versatile tool for the PR professional- from list buildings, editorial opportunities, one-off media contact searches, information of publications, and social. Being able to search by beats and locations, and export media lists in multiple formats with hundreds of contacts in a huge time saver. Journalists also have the option to include bios, other sites/social channels with coverage, and a description on how they like to work with PR people, which adds additional value beyond an email address. Cision is fast, simple, and is always my go-to in terms of media relations. ","Many in the industry complain that Cision is often not up-to-date on contact information/media moves from publication to publication. Although I've come across that myself, the Support team is great about updating when you flag a recent move or missing contact, so I don't think it's necessarily a huge setback. ","Really get to know all that Cision has to offer-- it can be much more than a quick log in if you'd like it to be! The search function and list builder are my favorite features, and the Support team is always eager to help with improving their database and working with their customers to stay on top of the constantly changing media industry landscape. ",,"5"
"December 15, 2017","""Cision is a staple for me!""","https://www.g2crowd.com/products/cision/reviews/cision-review-507043","I like Cision's user friendly interface and the ability to quickly filter down to the media outlets or contacts I'm looking to target for a particular news release, pitch or announcement.","I don't like that sometimes the media contacts in the database are incorrect as editors and reporters frequently move to different outlets or leave the business all together.","Cision account representatives are wonderful about keeping clients up to date about updates with the software and platform.",,"4"
"December 14, 2017","""Cision has helped us grow our media presence and build our database of media contacts""","https://www.g2crowd.com/products/cision/reviews/cision-review-271545","The ease of finding a new contact within the industry. I also like the new reports they generate showing how the well the campaign did . These have been helpful with knowing who is receiving our emails or who's contact information needs updated. ","It takes a bit of time to become familiar with the platform and remember where every function is located.","Cision is like an industry specific phone book at the tip of your fingers. You can find anyone with media influence in your industry and have direct access to their information, email and phone number. It makes it easy to find exactly who you need to target.",,"3.5"
"June 23, 2017","""cision Insights""","https://www.g2crowd.com/products/cision/reviews/cision-review-315739","I like how cision lists all the contact information you need for reporters, news stations, etc. ","I don't like how oftentimes the information is outdated. Sometimes it lists someone as a reporter who has since left the business like two years ago. ","Just be mindful that the information you pull from this software may not be the most updated so always double check a reporter's current status on LinkedIn. ",,"4"
"November 16, 2017","""Easy way to pull media contacts""","https://www.g2crowd.com/products/cision/reviews/cision-review-469629","The advanced search features. Cision makes it easy to target specific DMAs, types of outlets, their coverage, etc. I also like their influencer tab where I can pull a list of Twitter influencers on specific topics.","It's not very intuitive. For instance, if I misspell or put in the wrong formatting in search, it just says no results found rather than giving me suggstions.","Work with your company or team to get proper training on the platform. Cision is very helpful in your role but isn't easy to navigate for first-time users.",,"5"
"August  2, 2017","""Cision -  An Oldie But A Goodie""","https://www.g2crowd.com/products/cision/reviews/cision-review-361091","I like that Cision has an extensive, highly accurate database of contacts in all forms of media from magazines and newspapers to blogs and radio. I also like that if they are missing a contact - I can add the contact and that contact is automatically added to the database.","The user interface is a little outdated and looks a little old. The design and layout of the website could be updated to something sleeker and easier to use - it takes a bit to learn how to get around it. ","I would highly recommend it - even though it's a bit harder to learn, it has the best contact database and I hear that it is improving its social media monitoring and distribution elements. ",,"4.5"
"July 25, 2017","""Using Cision for PR/Crisis Management""","https://www.g2crowd.com/products/cision/reviews/cision-review-54661","Creating tailored media lists with as broad or targered parameters as I need. I enjoy having the option of having a really broad list that casts a wide net or building a small, extremely specific list that only targets about 30 people. The flexibility and access to so many people is a great advantage.","Occasionally I cannot export my media lists into Excel, which is frustrating. Occaionally I have to type out my entire list manually from the web into Excel and it wastes a huge amount of timel If that glitch could be solved most of my problems with Cision would be solved as well.  ","Make sure to go through a detailed tutorial to really learn about all of the features Cision can offer.",,"4"
